age,taille,poids,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,risque_personnel,date_creation_compte,loyer_mensuel,montant_pret
73,161.1,67.3,non,3,Occitanie,non,oui,857,célibataire,0.11,2024-09-28,1377.97,13157.101646368172
44,168.2,74.9,non,1,Île-de-France,non,oui,5245,célibataire,0.79,2023-06-26,10000.0,32408.309271881208
71,160.3,45.5,non,4,Auvergne-Rhône-Alpes,oui,oui,3792,célibataire,0.13,2023-06-13,5000.0,17975.461375021725
62,161.9,87.7,oui,1,Auvergne-Rhône-Alpes,oui,oui,3291,divorcé,0.32,2024-01-12,10000.0,16004.737730594868
18,178.0,77.6,oui,1,Corse,non,oui,3893,célibataire,0.66,2023-02-16,5175.89104031576,10437.682759868923
65,179.5,61.5,non,1,Occitanie,non,non,2577,veuf,0.58,2023-04-03,5000.0,500.0
22,170.8,60.9,non,3,Bretagne,oui,oui,714,célibataire,0.46,2023-03-01,699.57,500.0
54,170.0,61.3,oui,0,Île-de-France,oui,oui,2629,marié,0.22,2023-06-14,10000.0,500.0
61,175.2,58.5,oui,4,Corse,oui,oui,1572,divorcé,0.85,2024-11-15,5000.0,4494.300952230585
28,161.6,81.2,oui,3,Hauts-de-France,oui,oui,500,célibataire,0.66,2021-12-28,10000.0,500.0
28,181.8,81.1,non,3,Bretagne,non,oui,2847,marié,0.37,2020-03-14,518.38,22788.001263240207
24,169.1,68.1,non,4,Provence-Alpes-Côte d’Azur,oui,oui,3440,marié,0.14,2022-09-17,5175.89104031576,18070.091787237645
42,170.2,53.4,oui,2,Bretagne,oui,oui,4508,célibataire,0.33,2021-02-14,831.36,8464.616164954017
53,158.2,84.3,oui,4,Hauts-de-France,oui,oui,885,,0.48,2020-11-05,5000.0,12373.56023523041
57,158.9,57.3,oui,3,Île-de-France,oui,oui,3114,célibataire,0.5,2022-05-19,10000.0,20050.690685912497
22,155.5,85.0,oui,3,Occitanie,non,oui,1501,marié,0.1,2021-07-08,10000.0,16303.54507463377
45,188.0,87.6,non,1,Occitanie,oui,oui,1840,célibataire,0.52,2021-03-02,596.0,500.0
37,164.6,95.1,oui,0,Auvergne-Rhône-Alpes,non,non,2050,marié,0.5,2025-01-03,5175.89104031576,500.0
35,170.6,83.3,non,0,Provence-Alpes-Côte d’Azur,non,non,3911,divorcé,0.67,2022-02-26,5175.89104031576,500.0
34,157.9,73.9,non,0,Île-de-France,oui,oui,3821,marié,0.04,2020-07-30,1141.89,500.0
29,165.3,79.0,non,4,Auvergne-Rhône-Alpes,non,oui,500,marié,0.5,2022-09-08,925.87,17137.888522770147
24,169.4,58.2,non,0,Bretagne,oui,non,3269,célibataire,0.45,2021-12-01,5175.89104031576,500.0
74,155.1,65.4,non,2,Normandie,oui,oui,500,veuf,0.22,2022-10-02,5175.89104031576,500.0
53,181.7,56.7,oui,3,Île-de-France,oui,oui,2802,marié,0.01,2023-07-20,5000.0,21691.867312082977
58,181.7,59.0,oui,2,Corse,non,oui,832,marié,0.51,2021-09-10,5175.89104031576,23167.904430812967
32,167.1,76.5,non,4,Île-de-France,oui,non,4635,célibataire,0.8,2020-10-05,10000.0,1986.2237285384024
51,152.9,70.6,oui,3,Provence-Alpes-Côte d’Azur,non,non,500,divorcé,0.96,2022-09-04,10000.0,500.0
22,170.3,84.1,non,0,Hauts-de-France,oui,oui,900,,0.14,2022-05-02,5175.89104031576,500.0
58,172.7,76.4,oui,1,Provence-Alpes-Côte d’Azur,oui,non,3853,marié,0.4,2024-10-28,10000.0,500.0
49,174.6,70.0,non,3,Provence-Alpes-Côte d’Azur,non,oui,2203,marié,0.8,2021-11-28,866.27,16750.901381517804
66,156.9,73.7,non,4,Corse,non,non,1672,célibataire,0.12,2024-04-08,5175.89104031576,500.0
71,169.5,63.8,non,3,Auvergne-Rhône-Alpes,non,oui,2267,,0.12,2021-01-05,10000.0,27822.25265661032
44,166.2,56.4,oui,0,Auvergne-Rhône-Alpes,non,oui,2350,,0.08,2020-08-11,10000.0,12238.402238366429
28,180.5,73.1,oui,3,Île-de-France,non,non,2182,marié,0.02,2024-12-17,10000.0,18547.59442206578
33,184.1,68.2,oui,1,Provence-Alpes-Côte d’Azur,oui,oui,923,veuf,0.57,2021-07-22,5175.89104031576,500.0
46,180.0,80.4,non,3,Hauts-de-France,oui,non,2214,,0.86,2025-06-09,10000.0,500.0
52,166.9,66.4,non,1,Corse,non,non,1959,,0.5,2025-06-05,5000.0,500.0
30,184.7,82.7,non,1,Occitanie,oui,oui,2687,célibataire,0.65,2020-04-03,5000.0,500.0
27,183.9,60.6,oui,0,Auvergne-Rhône-Alpes,non,non,1788,marié,0.9,2025-05-21,10000.0,500.0
38,182.2,92.7,oui,3,Corse,non,non,2125,divorcé,0.93,2021-10-06,10000.0,500.0
24,172.9,42.6,non,2,Île-de-France,oui,oui,1389,célibataire,0.6,2021-06-04,793.17,1366.7152302536567
31,151.7,72.7,oui,0,Corse,oui,oui,2850,marié,0.89,2021-01-30,10000.0,500.0
30,153.3,66.0,oui,3,Corse,oui,non,1809,veuf,0.28,2025-03-16,5000.0,500.0
24,171.2,80.3,oui,3,Auvergne-Rhône-Alpes,oui,non,4370,marié,0.15,2024-06-05,10000.0,7915.101090898372
20,161.2,37.6,oui,3,Bretagne,oui,oui,4778,,0.4,2021-06-23,5175.89104031576,28396.908742389693
72,171.5,97.1,non,4,Île-de-France,oui,oui,725,veuf,0.8,2025-04-18,10000.0,18632.93584235897
