age,taille,poids,sport_licence,niveau_etude,region,smoker,revenu_estime_mois,situation_familiale,risque_personnel,loyer_mensuel,montant_pret
73,161.1,67.3,non,master,Occitanie,non,857,célibataire,0.11,1377.97,13157.101646368172
44,168.2,74.9,non,bac,Île-de-France,non,5245,célibataire,0.79,10000.0,32408.309271881208
71,160.3,45.5,non,doctorat,Auvergne-Rhône-Alpes,oui,3792,célibataire,0.13,5000.0,17975.461375021725
62,161.9,87.7,oui,bac,Auvergne-Rhône-Alpes,oui,3291,divorcé,0.32,10000.0,16004.737730594868
18,178.0,77.6,oui,bac,Corse,non,3893,célibataire,0.66,5175.89104031576,10437.682759868923
65,179.5,61.5,non,bac,Occitanie,non,2577,veuf,0.58,5000.0,500.0
22,170.8,60.9,non,master,Bretagne,oui,714,célibataire,0.46,699.57,500.0
54,170.0,61.3,oui,aucun,Île-de-France,oui,2629,marié,0.22,10000.0,500.0
61,175.2,58.5,oui,doctorat,Corse,oui,1572,divorcé,0.85,5000.0,4494.300952230585
28,161.6,81.2,oui,master,Hauts-de-France,oui,500,célibataire,0.66,10000.0,500.0
28,181.8,81.1,non,master,Bretagne,non,2847,marié,0.37,518.38,22788.001263240207
24,169.1,68.1,non,doctorat,Provence-Alpes-Côte d’Azur,oui,3440,marié,0.14,5175.89104031576,18070.091787237645
42,170.2,53.4,oui,bac+2,Bretagne,oui,4508,célibataire,0.33,831.36,8464.616164954017
53,158.2,84.3,oui,doctorat,Hauts-de-France,oui,885,marié,0.48,5000.0,12373.56023523041
57,158.9,57.3,oui,master,Île-de-France,oui,3114,célibataire,0.5,10000.0,20050.690685912497
22,155.5,85.0,oui,master,Occitanie,non,1501,marié,0.1,10000.0,16303.54507463377
45,188.0,87.6,non,bac,Occitanie,oui,1840,célibataire,0.52,596.0,500.0
37,164.6,95.1,oui,aucun,Auvergne-Rhône-Alpes,non,2050,marié,0.5,5175.89104031576,500.0
35,170.6,83.3,non,aucun,Provence-Alpes-Côte d’Azur,non,3911,divorcé,0.67,5175.89104031576,500.0
34,157.9,73.9,non,aucun,Île-de-France,oui,3821,marié,0.04,1141.89,500.0
29,165.3,79.0,non,doctorat,Auvergne-Rhône-Alpes,non,500,marié,0.5,925.87,17137.888522770147
24,169.4,58.2,non,aucun,Bretagne,oui,3269,célibataire,0.45,5175.89104031576,500.0
74,155.1,65.4,non,bac+2,Normandie,oui,500,veuf,0.22,5175.89104031576,500.0
53,181.7,56.7,oui,master,Île-de-France,oui,2802,marié,0.01,5000.0,21691.867312082977
58,181.7,59.0,oui,bac+2,Corse,non,832,marié,0.51,5175.89104031576,23167.904430812967
32,167.1,76.5,non,doctorat,Île-de-France,oui,4635,célibataire,0.8,10000.0,1986.2237285384024
51,152.9,70.6,oui,master,Provence-Alpes-Côte d’Azur,non,500,divorcé,0.96,10000.0,500.0
22,170.3,84.1,non,aucun,Hauts-de-France,oui,900,marié,0.14,5175.89104031576,500.0
58,172.7,76.4,oui,bac,Provence-Alpes-Côte d’Azur,oui,3853,marié,0.4,10000.0,500.0
49,174.6,70.0,non,master,Provence-Alpes-Côte d’Azur,non,2203,marié,0.8,866.27,16750.901381517804
66,156.9,73.7,non,doctorat,Corse,non,1672,célibataire,0.12,5175.89104031576,500.0
71,169.5,63.8,non,master,Auvergne-Rhône-Alpes,non,2267,marié,0.12,10000.0,27822.25265661032
44,166.2,56.4,oui,aucun,Auvergne-Rhône-Alpes,non,2350,marié,0.08,10000.0,12238.402238366429
28,180.5,73.1,oui,master,Île-de-France,non,2182,marié,0.02,10000.0,18547.59442206578
33,184.1,68.2,oui,bac,Provence-Alpes-Côte d’Azur,oui,923,veuf,0.57,5175.89104031576,500.0
46,180.0,80.4,non,master,Hauts-de-France,oui,2214,marié,0.86,10000.0,500.0
52,166.9,66.4,non,bac,Corse,non,1959,marié,0.5,5000.0,500.0
30,184.7,82.7,non,bac,Occitanie,oui,2687,célibataire,0.65,5000.0,500.0
27,183.9,60.6,oui,aucun,Auvergne-Rhône-Alpes,non,1788,marié,0.9,10000.0,500.0
38,182.2,92.7,oui,master,Corse,non,2125,divorcé,0.93,10000.0,500.0
24,172.9,42.6,non,bac+2,Île-de-France,oui,1389,célibataire,0.6,793.17,1366.7152302536567
31,151.7,72.7,oui,aucun,Corse,oui,2850,marié,0.89,10000.0,500.0
30,153.3,66.0,oui,master,Corse,oui,1809,veuf,0.28,5000.0,500.0
24,171.2,80.3,oui,master,Auvergne-Rhône-Alpes,oui,4370,marié,0.15,10000.0,7915.101090898372
20,161.2,37.6,oui,master,Bretagne,oui,4778,marié,0.4,5175.89104031576,28396.908742389693
72,171.5,97.1,non,doctorat,Île-de-France,oui,725,veuf,0.8,10000.0,18632.93584235897
19,169.3,79.9,non,aucun,Île-de-France,oui,2124,célibataire,0.53,5000.0,500.0
49,160.0,72.3,non,bac,Normandie,non,3422,marié,0.6,5175.89104031576,14326.37709078331
47,188.7,73.5,non,bac,Hauts-de-France,oui,3838,marié,0.5,5000.0,500.0
29,167.4,70.9,oui,aucun,Hauts-de-France,oui,660,célibataire,0.64,5175.89104031576,500.0
64,169.6,60.7,non,master,Île-de-France,non,2071,veuf,0.6,10000.0,16528.519173978777
75,178.4,54.2,oui,aucun,Auvergne-Rhône-Alpes,oui,2714,marié,0.88,10000.0,4704.9737016730005
39,190.1,82.8,oui,bac,Occitanie,non,2783,veuf,0.83,577.66,12733.330382969947
60,162.6,77.6,non,bac,Auvergne-Rhône-Alpes,oui,1788,divorcé,0.56,5000.0,10540.674784050036
31,181.1,69.4,oui,master,Hauts-de-France,oui,2600,divorcé,0.98,5000.0,6156.501558240514
26,159.7,99.5,non,doctorat,Occitanie,oui,3008,célibataire,0.05,5175.89104031576,500.0
28,160.2,92.5,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,500,célibataire,0.4,5000.0,500.0
21,168.4,71.1,oui,doctorat,Hauts-de-France,oui,3695,marié,0.17,5000.0,22775.8955135935
70,172.9,70.9,oui,doctorat,Hauts-de-France,oui,3304,marié,0.28,5000.0,8853.723228062805
42,185.9,57.8,oui,bac+2,Auvergne-Rhône-Alpes,oui,897,célibataire,0.05,5000.0,11778.343548052928
62,184.7,67.1,oui,master,Île-de-France,non,4278,célibataire,0.7,10000.0,31072.702663736723
37,181.5,91.8,non,master,Provence-Alpes-Côte d’Azur,non,3072,célibataire,0.56,5175.89104031576,21531.409941811824
34,174.5,75.3,non,aucun,Occitanie,oui,2537,divorcé,0.97,10000.0,500.0
37,164.1,74.1,non,master,Auvergne-Rhône-Alpes,non,4525,veuf,0.81,949.24,10946.391315339892
30,163.1,84.3,non,master,Bretagne,non,1295,veuf,0.52,5175.89104031576,500.0
75,176.9,66.4,oui,doctorat,Occitanie,oui,1859,célibataire,0.02,547.03,500.0
34,181.6,66.8,oui,bac+2,Hauts-de-France,oui,1566,célibataire,0.28,5175.89104031576,1992.4825524566772
55,172.2,91.8,oui,bac,Provence-Alpes-Côte d’Azur,oui,3929,marié,0.4,5175.89104031576,15002.912094814255
32,143.5,82.1,oui,aucun,Bretagne,oui,3770,divorcé,0.4,5175.89104031576,500.0
71,175.2,71.9,oui,aucun,Corse,oui,4747,marié,0.12,5000.0,500.0
44,168.8,56.1,non,master,Normandie,oui,3214,marié,0.82,5175.89104031576,10488.968596578909
70,169.1,75.5,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,4602,divorcé,0.36,5175.89104031576,28770.26971420019
60,165.9,67.6,non,bac+2,Occitanie,non,3203,veuf,0.12,944.44,500.0
70,165.1,77.1,non,doctorat,Auvergne-Rhône-Alpes,non,3865,célibataire,0.52,1128.66,37282.162849122215
54,180.3,75.4,oui,aucun,Normandie,non,1851,marié,0.67,348.33,10767.439217607673
61,160.7,83.0,oui,master,Occitanie,non,1598,marié,0.39,10000.0,24759.669493278125
56,177.9,61.9,non,aucun,Bretagne,non,1770,veuf,0.83,185.52,4161.441442592443
33,168.1,88.1,oui,master,Bretagne,non,1083,marié,0.49,10000.0,20879.755904736496
63,183.7,56.2,non,doctorat,Hauts-de-France,oui,3127,marié,0.17,5000.0,14801.426364952236
33,193.2,42.5,oui,bac,Normandie,oui,3041,marié,0.66,627.58,11145.183005926978
34,163.0,81.6,oui,doctorat,Auvergne-Rhône-Alpes,oui,2741,divorcé,0.6,5175.89104031576,500.0
47,167.4,59.2,oui,doctorat,Bretagne,oui,3059,veuf,0.69,5175.89104031576,28698.200373046937
26,184.2,77.3,oui,aucun,Hauts-de-France,oui,2663,marié,0.51,748.46,500.0
46,168.0,66.4,non,doctorat,Occitanie,oui,3361,marié,0.65,10000.0,16872.53990370362
40,155.4,82.9,non,doctorat,Normandie,oui,2530,divorcé,0.7,10000.0,500.0
43,177.3,83.2,oui,doctorat,Occitanie,non,2660,veuf,0.53,926.62,37114.160550787055
55,168.4,80.0,oui,doctorat,Normandie,non,500,marié,0.97,559.26,29358.17769561137
18,158.6,77.5,oui,aucun,Auvergne-Rhône-Alpes,oui,2023,marié,0.89,1032.32,500.0
62,171.4,77.2,non,bac+2,Corse,non,904,marié,0.29,1065.43,6712.726721442828
45,173.3,68.6,non,doctorat,Île-de-France,non,568,veuf,0.51,10000.0,500.0
29,175.2,69.5,non,bac,Provence-Alpes-Côte d’Azur,oui,3624,veuf,0.21,1073.5,500.0
30,170.6,54.3,oui,master,Occitanie,non,2285,marié,0.07,5000.0,24341.03004691129
74,159.7,95.8,non,master,Île-de-France,oui,1823,veuf,0.26,5000.0,9958.305010076558
42,173.8,71.8,oui,aucun,Bretagne,non,2040,marié,0.29,10000.0,15699.8867602253
41,179.5,65.6,non,bac+2,Bretagne,non,2321,marié,0.53,5000.0,15785.751255071553
30,179.1,71.9,oui,master,Provence-Alpes-Côte d’Azur,oui,5481,divorcé,0.08,5000.0,22240.901666635506
23,162.2,72.1,oui,bac,Auvergne-Rhône-Alpes,oui,3627,veuf,0.77,5175.89104031576,500.0
74,171.8,61.8,non,bac+2,Provence-Alpes-Côte d’Azur,non,1216,divorcé,0.79,5000.0,11292.029477601953
22,190.0,63.9,oui,bac,Bretagne,oui,1731,divorcé,0.25,5000.0,4529.690297241665
71,155.9,37.0,non,aucun,Occitanie,non,4762,marié,0.03,1486.62,500.0
41,175.3,73.0,oui,bac+2,Hauts-de-France,non,3480,divorcé,0.86,10000.0,17264.275901828485
18,168.4,73.9,non,aucun,Auvergne-Rhône-Alpes,non,4463,marié,0.15,5175.89104031576,500.0
18,170.9,61.7,non,doctorat,Île-de-France,non,1668,divorcé,0.83,1149.82,25390.88273988203
36,193.8,73.4,non,bac,Bretagne,oui,974,marié,0.18,650.62,500.0
41,154.1,97.5,non,master,Bretagne,oui,1993,divorcé,0.47,5175.89104031576,1281.9229939424142
59,156.8,75.3,non,aucun,Normandie,oui,3359,célibataire,0.58,5175.89104031576,500.0
18,162.9,79.1,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,2863,marié,0.34,1064.25,4124.384923241231
52,163.6,39.3,non,bac,Provence-Alpes-Côte d’Azur,oui,2217,veuf,0.59,5000.0,1703.2091550614111
44,159.6,84.8,oui,master,Île-de-France,oui,3603,marié,0.34,5175.89104031576,18161.86602584039
64,170.7,71.5,non,doctorat,Corse,non,3097,marié,0.83,5000.0,500.0
40,169.0,63.5,non,bac+2,Normandie,non,2140,célibataire,0.09,798.03,500.0
73,178.7,79.1,non,bac,Hauts-de-France,oui,2777,divorcé,0.32,1172.07,500.0
56,181.1,72.0,non,master,Provence-Alpes-Côte d’Azur,non,1075,marié,0.41,10000.0,10667.772211678155
36,174.3,56.6,non,aucun,Bretagne,non,3619,marié,0.43,10000.0,13279.43790734672
34,174.1,67.6,oui,bac+2,Corse,non,2597,veuf,0.3,1552.97,14865.32774958236
29,178.3,77.1,oui,aucun,Corse,non,3152,célibataire,0.88,5175.89104031576,2426.265552876417
25,164.8,42.6,non,aucun,Bretagne,non,3243,célibataire,0.56,522.19,500.0
59,172.1,66.4,oui,doctorat,Normandie,oui,1484,marié,0.25,5000.0,17717.330429437272
41,165.8,82.8,oui,bac+2,Corse,non,1797,divorcé,0.31,283.86,10146.957094539635
74,151.8,51.9,non,bac+2,Auvergne-Rhône-Alpes,oui,2986,divorcé,0.74,5000.0,11837.808210233152
24,165.3,66.9,oui,aucun,Bretagne,non,1930,marié,0.32,948.83,10379.81877962131
73,166.9,69.0,non,aucun,Auvergne-Rhône-Alpes,non,4771,veuf,0.47,5175.89104031576,19719.5017886146
60,167.8,39.7,non,aucun,Occitanie,non,2600,marié,0.26,10000.0,500.0
22,189.5,92.8,non,bac+2,Normandie,non,1878,divorcé,0.93,5175.89104031576,500.0
75,160.8,68.2,non,bac+2,Auvergne-Rhône-Alpes,non,4778,célibataire,0.64,5000.0,8980.312053464007
75,160.7,89.3,oui,bac,Île-de-France,oui,2248,célibataire,0.02,10000.0,500.0
41,163.7,84.2,non,bac,Hauts-de-France,oui,3039,marié,0.92,883.63,500.0
40,171.7,58.2,non,bac,Île-de-France,oui,1899,veuf,0.11,5175.89104031576,500.0
39,163.6,40.5,non,aucun,Île-de-France,oui,3230,célibataire,0.31,10000.0,500.0
47,179.2,67.9,oui,aucun,Île-de-France,non,3789,divorcé,0.68,5175.89104031576,18509.20677497533
57,174.0,83.7,oui,bac,Corse,non,4207,célibataire,0.78,5175.89104031576,21549.82401911197
